external_data,Category1
moebel_1101,Büromöbel
moebel_1102,Büromöbel
moebel_1104,Büromöbel
moebel_1103,Büromöbel
moebel_703,Büromöbel
moebel_705,Büromöbel
moebel_542,Büromöbel
moebel_673,Büromöbel
moebel_336,Büromöbel
moebel_435,Büromöbel
moebel_436,Büromöbel
moebel_434,Büromöbel
moebel_1106,Büromöbel
moebel_1105,Büromöbel
moebel_960,Büromöbel
moebel_32,Dekoration
moebel_641,Dekoration
moebel_171,Dekoration
moebel_183,Dekoration
moebel_184,Dekoration
moebel_178,Dekoration
moebel_1289,Dekoration
moebel_185,Dekoration
moebel_653,Dekoration
moebel_604,Dekoration
moebel_173,Dekoration
moebel_741,Dekoration
moebel_4017,Dekoration
moebel_1284,Dekoration
moebel_4009,Dekoration
moebel_1283,Dekoration
moebel_4013,Dekoration
moebel_1035,Dekoration
moebel_4011,Dekoration
moebel_4019,Dekoration
moebel_4021,Dekoration
moebel_4022,Dekoration
moebel_1034,Dekoration
moebel_8995,Dekoration
moebel_197,Dekoration
moebel_181,Dekoration
moebel_524,Dekoration
moebel_243,Dekoration
moebel_239,Dekoration
moebel_730,Dekoration
moebel_1287,Dekoration
moebel_476,Dekoration
moebel_240,Dekoration
moebel_242,Dekoration
moebel_176,Dekoration
moebel_221,Dekoration
moebel_222,Dekoration
moebel_224,Dekoration
moebel_761,Dekoration
moebel_523,Dekoration
moebel_180,Dekoration
moebel_232,Dekoration
moebel_1111,Dekoration
moebel_237,Dekoration
moebel_4144,Dekoration
moebel_1223,Dekoration
moebel_1224,Dekoration
moebel_949,Dekoration
moebel_174,Dekoration
moebel_198,Dekoration
moebel_215,Dekoration
moebel_199,Dekoration
moebel_182,Dekoration
moebel_134,Dekoration
moebel_249,Dekoration
moebel_250,Dekoration
moebel_246,Dekoration
moebel_175,Dekoration
moebel_218,Dekoration
moebel_217,Dekoration
moebel_216,Dekoration
moebel_219,Dekoration
moebel_177,Dekoration
moebel_228,Dekoration
moebel_227,Dekoration
moebel_472,Dekoration
moebel_896,Dekoration
moebel_895,Dekoration
moebel_1276,Dekoration
moebel_893,Dekoration
moebel_948,Dekoration
moebel_739,Dekoration
moebel_4104,Dekoration
moebel_8913,Dekoration
moebel_4106,Dekoration
moebel_4105,Dekoration
moebel_738,Dekoration
moebel_4119,Dekoration
moebel_737,Dekoration
moebel_4127,Dekoration
moebel_618,Dekoration
moebel_28,Flur
moebel_284,Flur
moebel_544,Flur
moebel_199,Flur
moebel_545,Flur
moebel_293,Flur
moebel_280,Flur
moebel_4573,Flur
moebel_287,Flur
moebel_4570,Flur
moebel_286,Flur
moebel_289,Flur
moebel_288,Flur
moebel_606,Flur
moebel_147,Flur
moebel_634,Flur
moebel_1112,Flur
moebel_4257,Flur
moebel_804,Flur
moebel_805,Flur
moebel_778,Flur
moebel_803,Flur
moebel_777,Flur
moebel_1038,Flur
moebel_265,Flur
moebel_619,Flur
moebel_548,Flur
moebel_277,Flur
moebel_272,Flur
moebel_273,Flur
moebel_609,Flur
moebel_926,Flur
moebel_564,Flur
moebel_719,Flur
moebel_720,Flur
moebel_563,Flur
moebel_562,Flur
moebel_262,Flur
moebel_275,Flur
moebel_759,Flur
moebel_712,Flur
moebel_717,Flur
moebel_716,Flur
moebel_714,Flur
moebel_715,Flur
moebel_713,Flur
moebel_263,Flur
moebel_877,Flur
moebel_706,Flur
moebel_283,Flur
moebel_292,Flur
moebel_291,Flur
moebel_590,Flur
moebel_607,Flur
moebel_281,Flur
moebel_543,Flur
moebel_997,Flur
moebel_75,Flur
moebel_4580,Flur
moebel_31,Garten
moebel_271,Garten
moebel_726,Garten
moebel_725,Garten
moebel_556,Garten
moebel_4218,Garten
moebel_727,Garten
moebel_557,Garten
moebel_555,Garten
moebel_724,Garten
moebel_728,Garten
moebel_8984,Garten
moebel_8987,Garten
moebel_8997,Garten
moebel_8986,Garten
moebel_8985,Garten
moebel_9013,Garten
moebel_9004,Garten
moebel_8990,Garten
moebel_8992,Garten
moebel_8993,Garten
moebel_8994,Garten
moebel_8988,Garten
moebel_9003,Garten
moebel_8989,Garten
moebel_9016,Garten
moebel_9015,Garten
moebel_4550,Garten
moebel_764,Garten
moebel_1051,Garten
moebel_1054,Garten
moebel_1052,Garten
moebel_8963,Garten
moebel_1053,Garten
moebel_1056,Garten
moebel_495,Garten
moebel_1062,Garten
moebel_9039,Garten
moebel_9044,Garten
moebel_9041,Garten
moebel_9040,Garten
moebel_1136,Garten
moebel_1063,Garten
moebel_1067,Garten
moebel_1066,Garten
moebel_9042,Garten
moebel_1068,Garten
moebel_1065,Garten
moebel_1059,Garten
moebel_1061,Garten
moebel_1064,Garten
moebel_1069,Garten
moebel_599,Garten
moebel_352,Garten
moebel_496,Garten
moebel_1225,Garten
moebel_490,Garten
moebel_491,Garten
moebel_487,Garten
moebel_488,Garten
moebel_489,Garten
moebel_492,Garten
moebel_4561,Garten
moebel_4541,Garten
moebel_4032,Garten
moebel_497,Garten
moebel_4030,Garten
moebel_601,Garten
moebel_600,Garten
moebel_353,Garten
moebel_1057,Garten
moebel_499,Garten
moebel_498,Garten
moebel_1072,Garten
moebel_1071,Garten
moebel_1070,Garten
moebel_501,Garten
moebel_500,Garten
moebel_1000,Garten
moebel_840,Garten
moebel_1073,Garten
moebel_9043,Garten
moebel_9047,Garten
moebel_9050,Garten
moebel_9045,Garten
moebel_9046,Garten
moebel_9049,Garten
moebel_9048,Garten
moebel_494,Garten
moebel_350,Garten
moebel_477,Garten
moebel_480,Garten
moebel_9038,Garten
moebel_476,Garten
moebel_240,Garten
moebel_478,Garten
moebel_1074,Garten
moebel_1060,Garten
moebel_493,Garten
moebel_9007,Garten
moebel_9006,Garten
moebel_4028,Garten
moebel_9012,Garten
moebel_841,Garten
moebel_4030,Garten
moebel_4041,Garten
moebel_354,Garten
moebel_503,Garten
moebel_504,Garten
moebel_505,Garten
moebel_502,Garten
moebel_626,Garten
moebel_1078,Garten
moebel_1077,Garten
moebel_1076,Garten
moebel_1075,Garten
moebel_1137,Garten
moebel_656,Garten
moebel_4053,Garten
moebel_4049,Garten
moebel_4050,Garten
moebel_4052,Garten
moebel_4051,Garten
moebel_624,Garten
moebel_1108,Garten
moebel_1110,Garten
moebel_1107,Garten
moebel_1109,Garten
moebel_858,Heimtextilien
moebel_330,Heimtextilien
moebel_417,Heimtextilien
moebel_729,Heimtextilien
moebel_630,Heimtextilien
moebel_179,Heimtextilien
moebel_897,Heimtextilien
moebel_919,Heimtextilien
moebel_920,Heimtextilien
moebel_194,Heimtextilien
moebel_902,Heimtextilien
moebel_899,Heimtextilien
moebel_901,Heimtextilien
moebel_898,Heimtextilien
moebel_52,Heimtextilien
moebel_659,Heimtextilien
moebel_905,Heimtextilien
moebel_658,Heimtextilien
moebel_664,Heimtextilien
moebel_661,Heimtextilien
moebel_134,Heimtextilien
moebel_170,Heimtextilien
moebel_310,Heimtextilien
moebel_677,Heimtextilien
moebel_678,Heimtextilien
moebel_135,Heimtextilien
moebel_665,Heimtextilien
moebel_660,Heimtextilien
moebel_196,Heimtextilien
moebel_646,Heimtextilien
moebel_899,Heimtextilien
moebel_645,Heimtextilien
moebel_647,Heimtextilien
moebel_662,Heimtextilien
moebel_663,Heimtextilien
moebel_191,Heimtextilien
moebel_293,Heimtextilien
moebel_857,Heimtextilien
moebel_1212,Heimtextilien
moebel_740,Heimtextilien
moebel_868,Heimtextilien
moebel_860,Heimtextilien
moebel_863,Heimtextilien
moebel_864,Heimtextilien
moebel_861,Heimtextilien
moebel_246,Heimtextilien
moebel_418,Heimtextilien
moebel_731,Heimtextilien
moebel_747,Heimtextilien
moebel_1299,Heimtextilien
moebel_754,Heimtextilien
moebel_136,Heimtextilien
moebel_622,Heimtextilien
moebel_869,Heimtextilien
moebel_875,Heimtextilien
moebel_870,Heimtextilien
moebel_874,Heimtextilien
moebel_873,Heimtextilien
moebel_866,Heimtextilien
moebel_867,Heimtextilien
